"species","mean_vert","max_vert","min_vert","median_vert","mean_preclo","max_preclo","min_preclo","median_preclo"
"Acutotyphlops_subocularis",182.5,183,182,182.5,168,169,167,168
"Anilios_affinis",239.571428571429,247,231,240,226.714285714286,238,218,224
"Anilios_ammodytes",221.571428571429,244,208,220,208.571428571429,231,194,209
"Anilios_aspina",259,259,259,259,247,247,247,247
"Anilios_australis",170.1,175,161,171,156.3,164,145,157.5
"Anilios_bicolor",175,186,163,177,161.3,173,145,164
"Anilios_bituberculatus",241.166666666667,283,215,237,228.166666666667,269,202,224
"Anilios_broomi",242.333333333333,246,236,245,230.666666666667,235,223,234
"Anilios_centralis",240.52,263,222,239,226.32,250,208,226
"Anilios_diversus",224.166666666667,250,203,221.5,210.333333333333,233,186,211
"Anilios_endoterus",225.142857142857,260,211,224,210.904761904762,245,193,211
"Anilios_fossor",262,262,262,262,250,250,250,250
"Anilios_ganei",219.090909090909,236,210,218,205.818181818182,222,197,204
"Anilios_grypusET",287.75,297,281,286.5,274.25,283,268,273
"Anilios_grypusW",335.909090909091,400,305,333,318.909090909091,387,282,316
"Anilios_guentheri",290.25,323,241,295.5,278.875,311,231,285
"Anilios_hamatus",193.625,205,183,193.5,182,195,171,181.5
"Anilios_howi",295.75,309,267,303.5,285.5,297,255,295
"Anilios_kimberleyensis",218.833333333333,262,203,212.5,206.833333333333,251,188,199
"Anilios_leptosoma",330.857142857143,351,306,337,315.571428571429,339,288,321
"Anilios_leucoproctus",214,217,208,215.5,201.75,206,194,203.5
"Anilios_ligatus",169.833333333333,179,158,170,155.833333333333,167,143,154
"Anilios_ligatusE",161.538461538462,169,156,161,146.846153846154,155,139,148
"Anilios_longissimus",381,381,381,381,369,369,369,369
"Anilios_margaretae",287.75,291,285,287.5,275.25,281,271,274.5
"Anilios_micromma",279,279,279,279,265,265,265,265
"Anilios_minimus",257,284,220,262,245.5,272,208,251
"Anilios_nema",333.8,339,324,336,317.4,328,299,319
"Anilios_nigrescens",212.1,234,195,211.5,195.6,218,183,191
"Anilios_obtusifrons",297.5,299,296,297.5,284,286,282,284
"Anilios_pilbarensis",212.846153846154,224,203,213,196.692307692308,210,185,195
"Anilios_pinguis",165.416666666667,200,156,163,153,188,143,151
"Anilios_proximus",180.866666666667,200,160,182,168.066666666667,187,145,169
"Anilios_robertsi",291,291,291,291,283,283,283,283
"Anilios_silvia",179,181,176,180,166,167,164,167
"Anilios_sp",268,268,268,268,259,259,259,259
"Anilios_systenos",318.333333333333,325,313,317,300.333333333333,306,297,298
"Anilios_torresianus",213,223,202,212,194.307692307692,206,182,193
"Anilios_tovelli",153.714285714286,168,146,152.5,140,155,132,139
"Anilios_troglodytes",305.25,322,295,302,291.75,310,282,287.5
"Anilios_unguirostris",230.6,267,189,227,219.2,257,180,216
"Anilios_waitii",318.428571428571,338,288,321,304,325,270,306
"Anilios_wiedii",220.923076923077,230,212,222,206.230769230769,215,196,208
"Anilios_yampiensis",298,298,298,298,289,289,289,289
"Anilios_yirrikalae",232.5,261,216,226.5,216.25,248,201,208
"Anilios_zonula",254,258,250,254,242.5,245,240,242.5
"Ramphotyphlops_acuticauda",205,207,203,205,191,195,187,191
"Ramphotyphlops_depressus",216.333333333333,230,206,213,198.333333333333,211,190,194
"Ramphotyphlops_multilineatus",276,276,276,276,259,259,259,259
